warning: no usable GPU found, --gpu-layers option will be ignored
warning: one possible reason is that llama.cpp was compiled without GPU support
warning: consult docs/build.md for compilation instructions
0.00.001.641 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.001.929 W srv  llama_server: -----------------
0.00.001.931 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.001.931 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.001.931 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.001.931 W srv  llama_server: -----------------
0.00.003.116 I srv    load_model: loading model '/home/qwe/workspace/llama.cpp/qwen3-1.7b/staged/qwen3-1.7B-BF16-staged-00001-of-00002.gguf'
0.00.279.779 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.00.952.814 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.00.958.479 I srv  llama_server: model loaded
0.00.958.483 I srv  llama_server: listening on http://127.0.0.1:38499
0.01.014.909 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.01.014.936 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.01.985.937 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.01.985.952 I slot launch_slot_: id  2 | task 1 | processing task, is_child = 0
0.01.985.954 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.01.985.959 I slot launch_slot_: id  1 | task 3 | processing task, is_child = 0
0.01.985.960 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.01.985.965 I slot launch_slot_: id  0 | task 4 | processing task, is_child = 0
0.17.607.391 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =    943, progress = 0.95, t =  15.62 s / 60.37 tokens per second
0.19.521.759 I slot print_timing: id  3 | task 0 | prompt eval time =     970.96 ms /   141 tokens (    6.89 ms per token,   145.22 tokens per second)
0.19.521.763 I slot print_timing: id  3 | task 0 |        eval time =   17535.84 ms /     4 tokens ( 4383.96 ms per token,     0.23 tokens per second)
0.19.521.763 I slot print_timing: id  3 | task 0 |       total time =   18506.80 ms /   145 tokens
0.19.521.767 I slot print_timing: id  3 | task 0 |    graphs reused =          1
0.19.521.799 I slot      release: id  3 | task 0 | stop processing: n_tokens = 144, truncated = 0
