warning: no usable GPU found, --gpu-layers option will be ignored
warning: one possible reason is that llama.cpp was compiled without GPU support
warning: consult docs/build.md for compilation instructions
0.00.003.658 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.004.090 W srv  llama_server: -----------------
0.00.004.094 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.004.094 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.004.094 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.004.094 W srv  llama_server: -----------------
0.00.005.366 I srv    load_model: loading model '/home/qwe/workspace/llama.cpp/qwen3-1.7b/qwen3-1.7B-BF16.gguf'
0.00.284.862 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.02.028.503 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.02.034.071 I srv  llama_server: model loaded
0.02.034.076 I srv  llama_server: listening on http://127.0.0.1:36023
0.02.126.885 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.02.126.912 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.02.126.913 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.02.126.917 I slot launch_slot_: id  2 | task 1 | processing task, is_child = 0
0.04.182.591 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.04.182.606 I slot launch_slot_: id  1 | task 3 | processing task, is_child = 0
0.04.182.608 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.04.182.612 I slot launch_slot_: id  0 | task 4 | processing task, is_child = 0
0.20.385.878 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =    942, progress = 0.94, t =  16.20 s / 58.14 tokens per second
0.21.144.999 I slot print_timing: id  2 | task 1 | prompt eval time =    2055.05 ms /   141 tokens (   14.57 ms per token,    68.61 tokens per second)
0.21.145.003 I slot print_timing: id  2 | task 1 |        eval time =   16963.01 ms /     4 tokens ( 4240.75 ms per token,     0.24 tokens per second)
0.21.145.003 I slot print_timing: id  2 | task 1 |       total time =   19018.06 ms /   145 tokens
0.21.145.007 I slot print_timing: id  2 | task 1 |    graphs reused =          1
0.21.145.037 I slot      release: id  2 | task 1 | stop processing: n_tokens = 144, truncated = 0
0.21.145.226 I slot print_timing: id  3 | task 0 | prompt eval time =    2055.62 ms /   148 tokens (   13.89 ms per token,    72.00 tokens per second)
0.21.145.227 I slot print_timing: id  3 | task 0 |        eval time =   16962.65 ms /     4 tokens ( 4240.66 ms per token,     0.24 tokens per second)
0.21.145.228 I slot print_timing: id  3 | task 0 |       total time =   19018.27 ms /   152 tokens
0.21.145.228 I slot print_timing: id  3 | task 0 |    graphs reused =          1
0.21.145.238 I slot      release: id  3 | task 0 | stop processing: n_tokens = 151, truncated = 0
0.21.234.124 I slot print_timing: id  0 | task 4 | prompt eval time =   16202.81 ms /  1104 tokens (   14.68 ms per token,    68.14 tokens per second)
0.21.234.128 I slot print_timing: id  0 | task 4 |        eval time =     848.68 ms /     4 tokens (  212.17 ms per token,     4.71 tokens per second)
0.21.234.128 I slot print_timing: id  0 | task 4 |       total time =   17051.49 ms /  1108 tokens
0.21.234.129 I slot print_timing: id  0 | task 4 |    graphs reused =          1
0.21.234.181 I slot      release: id  0 | task 4 | stop processing: n_tokens = 1107, truncated = 0
0.21.234.389 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 71531331764
0.21.234.406 I slot launch_slot_: id  2 | task 9 | processing task, is_child = 0
0.21.234.408 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 71531331965
0.21.234.414 I slot launch_slot_: id  3 | task 10 | processing task, is_child = 0
0.28.329.690 I slot print_timing: id  1 | task 3 | prompt eval time =   16866.14 ms /   997 tokens (   16.92 ms per token,    59.11 tokens per second)
0.28.329.693 I slot print_timing: id  1 | task 3 |        eval time =    7280.81 ms /     4 tokens ( 1820.20 ms per token,     0.55 tokens per second)
0.28.329.694 I slot print_timing: id  1 | task 3 |       total time =   24146.95 ms /  1001 tokens
0.28.329.695 I slot print_timing: id  1 | task 3 |    graphs reused =          1
0.28.329.742 I slot      release: id  1 | task 3 | stop processing: n_tokens = 1000, truncated = 0
0.28.330.268 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 71531420909
0.28.330.289 I slot launch_slot_: id  0 | task 12 | processing task, is_child = 0
0.34.534.027 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 71538516469
0.34.534.046 I slot launch_slot_: id  1 | task 14 | processing task, is_child = 0
0.45.300.939 I slot print_timing: id  2 | task 9 | prompt eval time =    7095.59 ms /   232 tokens (   30.58 ms per token,    32.70 tokens per second)
0.45.300.942 I slot print_timing: id  2 | task 9 |        eval time =   16970.92 ms /     4 tokens ( 4242.73 ms per token,     0.24 tokens per second)
0.45.300.943 I slot print_timing: id  2 | task 9 |       total time =   24066.51 ms /   236 tokens
0.45.300.943 I slot print_timing: id  2 | task 9 |    graphs reused =          1
0.45.300.966 I slot      release: id  2 | task 9 | stop processing: n_tokens = 235, truncated = 0
0.45.301.165 I slot print_timing: id  3 | task 10 | prompt eval time =    7095.80 ms /   526 tokens (   13.49 ms per token,    74.13 tokens per second)
0.45.301.167 I slot print_timing: id  3 | task 10 |        eval time =   16970.90 ms /     4 tokens ( 4242.73 ms per token,     0.24 tokens per second)
0.45.301.167 I slot print_timing: id  3 | task 10 |       total time =   24066.70 ms /   530 tokens
0.45.301.168 I slot print_timing: id  3 | task 10 |    graphs reused =          1
0.45.301.199 I slot      release: id  3 | task 10 | stop processing: n_tokens = 529, truncated = 0
0.45.383.639 I slot print_timing: id  0 | task 12 | prompt eval time =    6203.30 ms /   641 tokens (    9.68 ms per token,   103.33 tokens per second)
0.45.383.642 I slot print_timing: id  0 | task 12 |        eval time =   10850.03 ms /     4 tokens ( 2712.51 ms per token,     0.37 tokens per second)
0.45.383.642 I slot print_timing: id  0 | task 12 |       total time =   17053.33 ms /   645 tokens
0.45.383.643 I slot print_timing: id  0 | task 12 |    graphs reused =          1
0.45.383.680 I slot      release: id  0 | task 12 | stop processing: n_tokens = 644, truncated = 0
0.45.454.209 I slot print_timing: id  1 | task 14 | prompt eval time =   10654.87 ms /  1123 tokens (    9.49 ms per token,   105.40 tokens per second)
0.45.454.212 I slot print_timing: id  1 | task 14 |        eval time =     265.27 ms /     4 tokens (   66.32 ms per token,    15.08 tokens per second)
0.45.454.213 I slot print_timing: id  1 | task 14 |       total time =   10920.14 ms /  1127 tokens
0.45.454.214 I slot print_timing: id  1 | task 14 |    graphs reused =          1
0.45.454.342 I slot      release: id  1 | task 14 | stop processing: n_tokens = 1126, truncated = 0
0.45.455.187 I srv    operator(): operator(): cleaning up before exit...
